url,title,pubDate,articleID,section,commentCount,views,articleAge,shares,alive
http://www.nytimes.com/2013/04/30/opinion/brooks-engaged-or-detached.html,Engaged or Detached?,2013-04-30,100000002199111,Opinion,31,81988,3,664,0
http://www.nytimes.com/2013/04/30/world/europe/oslo-copes-with-shortage-of-garbage-it-turns-into-energy.html,A City That Turns Garbage Into Energy Copes With a Shortage,2013-04-30,100000002193737,World,0,65557,3,803,0
http://www.nytimes.com/2013/05/02/science/evidence-of-cannibalism-found-at-jamestown-site.html,Girl’s Bones Bear Signs of Cannibalism by Starving Virginia Colonists,2013-05-02,100000002202082,Science,0,203877,1,1591,0
http://www.nytimes.com/2013/04/29/business/empire-state-building-feud-nears-crucial-ruling.html,"A Nasty, Epic Real Estate Battle With Stakes 102 Stories High",2013-04-29,100000002197038,Business Day,0,93311,4,518,0
http://opinionator.blogs.nytimes.com/2013/04/27/no-rich-child-left-behind/,No Rich Child Left Behind,2013-04-27,289,Opinion,48,52048,6,979,0
http://www.nytimes.com/2013/04/30/world/asia/radioactive-water-imperils-fukushima-plant.html,Flow of Tainted Water Is Latest Crisis at Japan Nuclear Plant,2013-04-30,100000002199071,World,11,113231,3,1490,0
http://www.nytimes.com/2013/05/02/technology/cellphone-thefts-grow-but-the-industry-looks-the-other-way.html,"Cellphone Thefts Grow, but the Industry Looks the Other Way",2013-05-02,100000002203031,Technology,12,131518,1,1156,0
http://www.nytimes.com/2013/05/04/world/asia/rat-meat-sold-as-lamb-in-china-highlights-fears.html,Rat Meat Sold as Lamb Highlights Food Fears in China,2013-05-04,100000002205517,World,0,60835,0,1364,1
http://www.nytimes.com/2013/05/01/movies/deanna-durbin-1930s-star-of-universal-pictures-dies-at-91.html,"Deanna Durbin, Plucky Movie Star of the Depression Era, Is Dead at 91",2013-05-01,100000002201137,Movies,0,66640,2,1006,0
http://www.nytimes.com/2013/05/03/nyregion/new-jersey-officials-detail-bid-by-tick-tock-diner-manager-to-have-uncle-killed.html,"A Diner, a Family and a Murder Plot",2013-05-03,100000002205074,N.Y. / Region,0,85413,0,1439,1
http://opinionator.blogs.nytimes.com/2013/05/02/house-of-un-representatives/,House of Un-Representatives,2013-05-02,289,Opinion,15,71727,1,2554,1
http://www.nytimes.com/2013/05/03/us/airport-project-reflects-a-changing-silicon-valley.html,Corporate Jet Center Exposes Silicon Valley’s Class Divide,2013-05-03,100000002195088,U.S.,102,95204,0,649,1
http://opinionator.blogs.nytimes.com/2013/05/02/cameristas/,Cameristas,2013-05-02,289,Opinion,95,139683,1,1123,1
http://www.nytimes.com/2013/05/02/business/some-retailers-rethink-their-role-in-bangladesh.html,Some Retailers Rethink Role in Bangladesh,2013-05-02,100000002203107,Business Day,24,80488,1,1139,0
http://www.nytimes.com/2013/04/28/opinion/sunday/dowd-the-silver-foxs-pink-slip.html,Silver Fox’s Pink Slip,2013-04-28,100000002195531,Opinion,11,52018,5,523,0
http://www.nytimes.com/2013/05/03/health/suicide-rate-rises-sharply-in-us.html,Suicide Rates Rise Sharply in U.S.,2013-05-03,100000002204100,Health,46,244356,0,3376,1
http://www.nytimes.com/2013/04/28/magazine/diederik-stapels-audacious-academic-fraud.html,The Mind of a Con Man,2013-04-28,100000002188041,Magazine,13,59982,5,923,0
http://www.nytimes.com/2013/05/01/dining/making-lunch-with-michael-pollan-and-michael-moss.html,"Pots and Pans, but Little Pain",2013-05-01,100000002200112,Dining & Wine,51,91057,2,1264,0
http://www.nytimes.com/2013/04/29/opinion/krugman-the-story-of-our-time.html,The Story of Our Time,2013-04-29,100000002197004,Opinion,28,90069,4,1296,0
http://www.nytimes.com/2013/04/30/science/may-britt-and-edvard-moser-explore-the-brains-gps.html,A Sense of Where You Are,2013-04-30,100000002198105,Science,0,67435,3,1304,0
http://www.nytimes.com/2013/04/29/world/asia/cia-delivers-cash-to-afghan-leaders-office.html,"With Bags of Cash, C.I.A. Seeks Influence in Afghanistan",2013-04-29,100000002196804,World,25,184465,4,2758,0
http://www.nytimes.com/2013/04/29/opinion/keller-erasing-history.html,Erasing History,2013-04-29,100000002197060,Opinion,154,53960,4,693,0
http://dealbook.nytimes.com/2013/05/02/jpmorgan-caught-in-swirl-of-regulatory-woes/,"JPMorgan Caught in Swirl of Regulatory Woes ",2013-05-02,243,Business Day,218,85064,1,907,1
http://www.nytimes.com/2013/05/02/us/3-more-people-in-custody-in-boston-bombing-case.html,"After Boston Attack, 3 Friends Covered It Up, Prosecutors Say",2013-05-02,100000002201840,U.S.,18,235948,1,613,0
http://www.nytimes.com/2013/04/29/us/asians-now-largest-immigrant-group-in-southern-california.html,New Suburban Dream Born of Asia and Southern California,2013-04-29,100000002196921,U.S.,0,133854,4,1464,0
http://www.nytimes.com/2013/05/01/opinion/dowd-bottoms-up-lame-duck.html,"Bottoms Up, Lame Duck",2013-05-01,100000002201191,Opinion,25,47956,2,537,0
http://www.nytimes.com/2013/05/01/opinion/friedman-its-a-401k-world.html,It’s a 401(k) World,2013-05-01,100000002201087,Opinion,29,63279,2,998,0
http://www.nytimes.com/2013/04/29/opinion/the-dutch-should-ditch-the-king-and-hire-an-actor.html,Ditch the King. Hire an Actor.,2013-04-29,100000002194940,Opinion,0,63944,4,963,0
http://well.blogs.nytimes.com/2013/05/01/the-problem-of-breast-pain-in-women-who-exercise/,The Problem of Breast Pain in Women Who Exercise,2013-05-01,24,Health,76,58055,2,407,0
http://www.nytimes.com/2013/05/01/dining/reviews/restaurant-review-saison-in-san-francisco.html,"Before Rewards, Demands",2013-05-01,100000002200154,Dining & Wine,168,66159,2,718,0
http://www.nytimes.com/2013/05/01/business/global/chinese-way-of-doing-business-in-cash-we-trust.html,Chinese Way of Doing Business: In Cash We Trust,2013-05-01,100000002201041,Business Day,84,46157,2,688,0
http://www.nytimes.com/2013/05/05/arts/television/the-office-finale.html,One Last Cringe for ‘The Office’ Finale,2013-05-05,100000002200532,Arts,67,50216,-1,566,0
http://www.nytimes.com/2013/05/03/opinion/krugman-not-enough-inflation.html,Not Enough Inflation,2013-05-03,100000002205243,Opinion,620,100341,0,1312,1
http://www.nytimes.com/2013/05/02/opinion/collins-the-luv-guvs-last-stand.html,The Luv Guv’s Last Stand,2013-05-02,100000002203010,Opinion,17,101664,1,846,0
http://www.nytimes.com/2013/05/02/business/energy-environment/cross-country-solar-plane-expedition-set-for-takeoff.html,Cross-Country Solar Plane Expedition Set for Takeoff,2013-05-02,100000002203024,Business Day,0,52866,1,1008,0
http://www.nytimes.com/2013/05/02/fashion/williamsburg.html,How I Became a Hipster,2013-05-02,100000002202033,Fashion & Style,13,200226,1,3645,1
